customer_id,tenure,city,zip_code,latitude,longitude,offer,phone_service,multiple_lines,internet_service,internet_type,gigabits_used,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,unlimited_data,contract,payment_method,monthly_charge,total_charges,total_revenue,gender,age,married,kidhome,teenhome,income,churn
0,9,346,93225,34.827662,-118.999073,0,1,0,1,0,16.0,0,1,0,1,1,0,1,1,1,65.6,593.3,974.81,0,37,1,0,0,30507.0,0
1,9,368,91206,34.162515,-118.203869,0,1,1,1,0,10.0,0,0,0,0,0,1,0,0,1,-4.0,542.4,610.28,1,46,0,0,1,59892.0,0
2,4,222,92627,33.645672,-117.922613,5,1,0,1,2,30.0,0,0,1,0,0,0,1,0,0,73.9,280.85,415.45,1,50,0,0,1,70545.0,1
3,13,587,94553,38.014457,-122.115432,4,1,0,1,2,4.0,0,1,1,0,1,1,1,0,0,98.0,1237.85,1599.51,1,78,1,0,0,57100.0,0
4,3,139,93010,34.227846,-119.079903,0,1,0,1,2,11.0,0,0,0,1,1,0,1,0,1,83.9,267.4,289.54,0,75,1,1,1,49096.0,1
5,9,608,95345,37.581496,-119.972762,5,1,0,1,0,73.0,0,0,0,1,1,1,1,0,1,69.4,571.45,722.38,0,23,0,1,0,34176.0,1
6,71,546,93437,34.757477,-120.550507,1,1,0,1,2,14.0,1,1,1,1,1,1,1,2,0,109.7,7904.25,8611.41,0,67,1,2,0,71427.0,0
7,63,653,94558,38.489789,-122.27011,2,1,1,1,2,7.0,1,0,0,1,0,0,0,2,1,84.65,5377.8,6214.28,1,52,1,1,0,38961.0,0
8,7,924,93063,34.296813,-118.685703,5,1,0,1,1,21.0,1,0,0,0,0,0,1,2,0,48.2,340.35,414.06,0,68,0,0,1,78128.0,1
9,65,915,95681,38.984756,-121.345074,0,1,1,1,0,14.0,1,1,1,1,1,1,1,2,1,90.45,5957.9,7807.8,0,43,1,0,1,47823.0,0
10,54,800,92091,32.99356,-117.207121,0,0,0,1,0,10.0,1,0,0,1,1,0,1,2,1,45.2,2460.55,2460.55,1,47,0,1,0,37292.0,0
11,72,970,94086,37.378541,-122.020456,0,1,1,1,2,59.0,1,1,1,1,1,1,1,2,1,116.8,8456.75,9609.47,0,25,1,2,1,52195.0,0
12,5,29,95843,38.715498,-121.363411,0,1,0,1,2,10.0,0,0,0,0,0,0,1,0,0,68.95,351.5,444.75,0,58,1,0,1,69139.0,0
13,72,490,91942,32.782501,-117.01611,1,1,1,1,2,16.0,1,1,1,0,1,0,1,2,0,101.3,7261.25,7423.25,0,32,0,1,0,30675.0,1
14,56,558,93441,34.70434,-120.02609,0,0,0,1,1,19.0,1,1,1,1,0,0,1,2,0,45.05,2560.1,2560.1,0,39,0,1,0,13724.0,0
15,71,1092,93286,36.464635,-119.094348,1,1,1,1,2,12.0,0,1,1,0,0,1,1,2,1,95.75,6849.4,8784.86,0,58,1,1,1,45759.0,0
16,34,776,94956,38.060264,-122.830646,0,0,0,1,1,20.0,1,0,1,1,1,1,1,1,1,61.25,1993.2,1993.2,0,52,1,1,1,31395.0,0
17,1,870,92078,33.119028,-117.166036,5,1,1,1,2,22.0,0,0,0,0,0,0,1,1,0,72.1,72.1,79.87,0,72,0,0,1,34242.0,0
18,45,240,94015,37.680844,-122.48131,0,1,0,1,1,17.0,1,0,1,0,0,1,1,1,1,62.7,2791.5,3271.65,1,79,0,0,2,40451.0,1
19,1,637,95037,37.161544,-121.649371,0,0,0,1,0,9.0,0,0,0,0,0,0,1,0,0,25.1,25.1,25.1,1,67,0,1,0,36038.0,0
20,50,6,93601,37.375816,-119.739935,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,25.2,1306.3,2877.8,0,79,1,0,1,50616.0,1
21,13,162,96140,39.227434,-120.091806,0,1,1,1,2,52.0,0,1,1,0,1,0,1,0,0,94.1,1215.6,1781.88,0,26,1,1,0,66503.0,0
22,23,15,93201,35.869626,-119.498771,4,1,1,1,2,30.0,0,0,0,0,1,0,1,0,0,83.75,1849.95,2652.88,0,30,1,0,0,76081.0,1
23,3,466,93530,36.560498,-117.962461,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,19.85,57.2,66.56,0,22,0,1,0,49669.0,0
24,4,482,95550,40.7666,-123.80458,5,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,20.35,76.35,126.07,0,34,1,1,1,16860.0,0
25,1,728,92060,33.309852,-116.823091,0,0,0,1,1,19.0,1,0,0,0,0,0,1,0,0,30.5,30.5,30.5,0,37,1,1,1,43462.0,0
