customer_id,city,zip_code,latitude,longitude,offer,phone_service,multiple_lines,internet_service,internet_type,gigabits_used,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,unlimited_data,contract,payment_method,monthly_charge,total_charges,gender,age,married,kidhome,teenhome,income,churn,CLV,total_services_used
0,346,93225,34.827662,-118.999073,0,1,0,1,0,16.0,0,1,0,1,1,0,1,1,1,65.6,593.3,0,37,1,0,0,30507.0,0,8773.289999999999,5
1,368,91206,34.162515,-118.203869,0,1,1,1,0,10.0,0,0,0,0,0,1,0,0,1,-4.0,542.4,1,46,0,0,1,59892.0,0,5492.5199999999995,3
2,222,92627,33.645672,-117.922613,5,1,0,1,2,30.0,0,0,1,0,0,0,1,0,0,73.9,280.85,1,50,0,0,1,70545.0,1,1661.8,3
3,587,94553,38.014457,-122.115432,4,1,0,1,2,4.0,0,1,1,0,1,1,1,0,0,98.0,1237.85,1,78,1,0,0,57100.0,0,20793.63,6
4,139,93010,34.227846,-119.079903,0,1,0,1,2,11.0,0,0,0,1,1,0,1,0,1,83.9,267.4,0,75,1,1,1,49096.0,1,868.6200000000001,4
5,608,95345,37.581496,-119.972762,5,1,0,1,0,73.0,0,0,0,1,1,1,1,0,1,69.4,571.45,0,23,0,1,0,34176.0,1,6501.42,5
6,546,93437,34.757477,-120.550507,1,1,0,1,2,14.0,1,1,1,1,1,1,1,2,0,109.7,7904.25,0,67,1,2,0,71427.0,0,611410.11,8
7,653,94558,38.489789,-122.27011,2,1,1,1,2,7.0,1,0,0,1,0,0,0,2,1,84.65,5377.8,1,52,1,1,0,38961.0,0,391499.63999999996,4
8,924,93063,34.296813,-118.685703,5,1,0,1,1,21.0,1,0,0,0,0,0,1,2,0,48.2,340.35,0,68,0,0,1,78128.0,1,2898.42,3
9,915,95681,38.984756,-121.345074,0,1,1,1,0,14.0,1,1,1,1,1,1,1,2,1,90.45,5957.9,0,43,1,0,1,47823.0,0,507507.0,8
10,800,92091,32.99356,-117.207121,0,0,0,1,0,10.0,1,0,0,1,1,0,1,2,1,45.2,2460.55,1,47,0,1,0,37292.0,0,132869.7,4
11,970,94086,37.378541,-122.020456,0,1,1,1,2,59.0,1,1,1,1,1,1,1,2,1,116.8,8456.75,0,25,1,2,1,52195.0,0,691881.84,8
12,29,95843,38.715498,-121.363411,0,1,0,1,2,10.0,0,0,0,0,0,0,1,0,0,68.95,351.5,0,58,1,0,1,69139.0,0,2223.75,2
13,490,91942,32.782501,-117.01611,1,1,1,1,2,16.0,1,1,1,0,1,0,1,2,0,101.3,7261.25,0,32,0,1,0,30675.0,1,534474.0,6
14,558,93441,34.70434,-120.02609,0,0,0,1,1,19.0,1,1,1,1,0,0,1,2,0,45.05,2560.1,0,39,0,1,0,13724.0,0,143365.6,5
15,1092,93286,36.464635,-119.094348,1,1,1,1,2,12.0,0,1,1,0,0,1,1,2,1,95.75,6849.4,0,58,1,1,1,45759.0,0,623725.06,5
16,776,94956,38.060264,-122.830646,0,0,0,1,1,20.0,1,0,1,1,1,1,1,1,1,61.25,1993.2,0,52,1,1,1,31395.0,0,67768.8,6
17,870,92078,33.119028,-117.166036,5,1,1,1,2,22.0,0,0,0,0,0,0,1,1,0,72.1,72.1,0,72,0,0,1,34242.0,0,79.87,2
18,240,94015,37.680844,-122.48131,0,1,0,1,1,17.0,1,0,1,0,0,1,1,1,1,62.7,2791.5,1,79,0,0,2,40451.0,1,147224.25,5
19,637,95037,37.161544,-121.649371,0,0,0,1,0,9.0,0,0,0,0,0,0,1,0,0,25.1,25.1,1,67,0,1,0,36038.0,0,25.1,1
20,6,93601,37.375816,-119.739935,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,25.2,1306.3,0,79,1,0,1,50616.0,1,143890.0,1
21,162,96140,39.227434,-120.091806,0,1,1,1,2,52.0,0,1,1,0,1,0,1,0,0,94.1,1215.6,0,26,1,1,0,66503.0,0,23164.440000000002,5
22,15,93201,35.869626,-119.498771,4,1,1,1,2,30.0,0,0,0,0,1,0,1,0,0,83.75,1849.95,0,30,1,0,0,76081.0,1,61016.240000000005,3
23,466,93530,36.560498,-117.962461,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,19.85,57.2,0,22,0,1,0,49669.0,0,199.68,1
24,482,95550,40.7666,-123.80458,5,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,1,20.35,76.35,0,34,1,1,1,16860.0,0,504.28,1
25,728,92060,33.309852,-116.823091,0,0,0,1,1,19.0,1,0,0,0,0,0,1,0,0,30.5,30.5,0,37,1,1,1,43462.0,0,30.5,2
26,733,93648,36.622237,-119.521126,0,1,0,1,2,57.0,0,1,1,1,1,1,0,1,0,103.7,5656.75,0,37,1,1,0,49494.0,1,418217.25,7
27,622,95358,37.612612,-121.108568,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,20.4,1090.6,1,42,1,1,1,33378.0,1,116337.6,1
28,366,95442,38.368744,-122.522642,3,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,19.6,471.85,1,64,0,1,0,24206.0,0,37200.799999999996,1
29,310,95503,40.737431,-124.108897,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,19.7,1396.9,0,47,1,0,0,20193.0,1,279160.89,1
30,640,94038,37.515556,-122.502311,3,1,0,1,2,51.0,0,0,0,0,1,1,1,1,1,91.2,3247.55,1,23,1,0,1,80011.0,0,179040.04,4
31,554,90058,34.001617,-118.222274,2,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,20.45,900.9,0,48,1,1,1,29435.0,0,163185.68000000002,1
32,554,90063,34.044271,-118.185237,0,1,1,1,2,41.0,1,1,1,1,1,1,1,1,0,-2.0,7942.15,1,28,1,0,1,58116.0,0,714844.0199999999,8
33,130,92231,32.690654,-115.431225,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,1,0,20.55,1343.4,0,28,0,0,1,48432.0,0,191747.97,1
34,807,96003,40.677649,-122.29467,0,0,0,1,0,22.0,1,0,1,1,0,0,1,2,1,39.4,825.4,1,33,1,0,1,52107.37719046251,0,16508.0,4
35,872,95046,37.084697,-121.606417,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,25.1,1070.15,0,31,0,0,0,70893.0,0,102669.81,1
36,957,95209,38.044523,-121.348048,2,1,1,1,2,9.0,1,0,0,0,1,0,1,0,0,89.8,4959.6,0,37,1,0,0,66664.0,1,288145.0,4
37,554,90003,33.964131,-118.272783,2,1,1,1,2,14.0,1,1,0,0,1,0,1,0,0,94.75,5597.65,0,60,1,1,1,47821.0,0,387314.94,5
38,437,90255,33.97803,-118.217141,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,2,0,20.3,224.5,0,48,1,1,0,23626.0,1,5470.32,1
39,1097,92398,35.013299,-116.834092,3,1,1,1,2,23.0,0,0,0,0,0,0,1,0,0,75.75,1929.0,1,60,1,0,0,69372.0,1,70497.54,2
40,854,92129,32.961064,-117.134917,0,1,0,1,1,27.0,1,0,0,0,0,0,1,0,0,49.25,91.1,1,69,0,0,0,87195.0,0,358.16,3
41,348,94539,37.516791,-121.899117,3,1,0,1,1,59.0,0,1,1,1,1,1,1,1,1,78.2,2078.95,0,20,0,0,1,68142.0,0,91787.04,7
42,893,95405,38.439696,-122.668817,0,1,1,0,2,26.189958310676094,0,0,0,0,0,0,1,2,1,25.5,630.6,1,31,1,0,0,82347.0,0,29460.75,1
43,863,95126,37.327069,-121.916819,0,1,0,1,0,19.0,1,1,1,0,0,0,1,1,0,61.6,1611.0,1,46,1,0,0,79908.0,0,43183.75,5
44,1010,91042,34.296574,-118.244839,0,0,0,1,1,21.0,1,1,1,1,0,0,1,0,1,45.0,1242.45,1,57,0,0,1,53977.0,0,35675.51,5
45,1041,93291,36.391777,-119.372842,0,1,1,1,1,52.0,0,1,1,1,1,1,1,2,0,85.15,6316.2,1,19,1,1,1,41850.0,0,622520.64,7
46,541,95240,38.123544,-121.159078,0,1,0,1,0,12.0,0,1,0,0,0,0,1,1,1,51.45,727.85,0,64,0,1,0,75433.0,0,14901.740000000002,3
47,292,95318,37.654551,-119.822984,3,1,0,1,2,2.0,0,0,1,1,1,1,1,1,0,99.25,3532.0,0,38,0,0,0,45576.0,1,168234.5,6
48,136,94515,38.629618,-122.593216,5,1,0,1,1,9.0,0,0,0,0,0,0,1,0,1,44.3,44.3,1,54,0,0,1,51650.0,0,87.25,2
49,318,95230,37.956963,-120.863055,0,1,0,1,2,17.0,0,0,0,1,1,1,0,0,0,94.2,2607.6,1,50,0,0,1,70179.0,0,77924.45000000001,5
50,1012,96134,41.813521,-121.492666,0,1,1,1,1,69.0,1,1,1,1,1,0,0,1,0,81.25,5567.55,1,25,0,1,1,30833.0,0,381370.24,7
51,206,96107,38.42528,-119.475741,0,1,1,1,2,53.0,0,0,0,1,1,1,1,0,1,99.95,3767.4,0,35,1,1,1,86358.0,1,184010.58000000002,5
52,696,93023,34.581308,-118.931948,0,1,0,1,2,23.0,0,0,0,0,1,1,1,2,0,91.55,3673.6,0,72,0,1,0,75774.0,0,217568.0,4
53,256,92241,33.832799,-116.250973,0,1,1,1,2,15.0,0,1,1,0,1,1,1,0,1,104.5,4036.85,1,51,0,0,0,66991.0,1,221778.0,6
54,676,91605,34.207295,-118.400022,4,1,0,1,2,29.0,0,1,0,0,1,1,0,0,0,95.0,1120.3,0,78,0,1,1,46854.0,0,15045.689999999999,5
55,449,94937,38.099323,-122.945723,5,1,1,1,0,85.0,0,0,0,0,0,0,1,0,0,50.35,314.55,0,30,1,0,1,43057.0,1,3423.06,2
56,893,95404,38.526941,-122.709096,0,1,1,1,1,15.0,1,0,0,0,0,1,1,0,2,64.5,1888.45,1,58,0,1,1,31353.0,0,59029.5,4
57,863,95131,37.387027,-121.897775,0,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.4,529.8,1,26,0,0,0,52107.37719046251,0,29365.739999999998,1
58,1078,90744,33.782068,-118.262263,0,1,1,1,2,28.0,0,1,1,0,1,1,1,1,0,104.8,7308.95,1,66,1,0,1,44911.0,0,704699.7999999999,6
59,622,95357,37.670526,-120.877572,2,1,1,1,2,73.0,0,1,1,1,1,1,1,1,0,109.4,6252.7,0,20,1,0,0,12393.0,0,382428.39,7
60,854,92113,32.697098,-117.116587,0,1,0,1,1,18.0,0,0,1,0,0,0,1,1,1,50.3,2878.55,1,61,1,1,0,28769.0,0,228159.24000000002,3
61,799,90275,33.753146,-118.367459,0,1,1,1,1,48.0,0,1,1,0,0,1,1,0,0,71.4,1212.1,1,24,0,0,0,61618.0,0,25975.36,5
62,469,95452,38.419525,-122.521585,1,1,1,1,2,27.0,1,1,1,1,1,1,1,2,0,116.0,8182.85,0,55,1,0,1,63381.0,0,748010.37,8
63,1062,95255,38.41935,-120.469545,5,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.85,19.85,1,32,0,1,1,46098.0,0,51.62,1
64,554,90062,34.003553,-118.308933,0,1,1,1,2,25.0,0,0,1,0,1,1,1,0,0,99.75,99.75,1,59,0,1,1,43602.0,1,140.46,5
65,638,92256,34.097863,-116.594561,3,1,0,1,2,23.0,0,1,0,0,1,1,1,1,2,93.95,2861.45,1,71,1,0,0,64260.0,0,124191.04,5
66,727,92266,33.3249,-114.758334,4,1,1,1,2,12.0,0,0,1,0,1,0,1,0,0,90.8,1442.2,1,49,1,1,1,54603.0,0,35544.96,4
67,1033,93563,34.39583,-117.734568,2,1,1,1,0,10.0,1,0,1,1,1,1,1,1,0,84.35,4059.35,1,61,1,0,1,47352.0,0,293867.7,7
68,140,93428,35.591387,-121.032256,1,0,0,1,0,29.0,0,1,1,1,1,1,1,2,0,58.25,4145.9,0,40,1,0,1,63342.0,0,294358.89999999997,6
69,837,96084,40.923558,-122.059933,0,1,1,1,2,12.0,0,1,1,0,1,1,1,0,0,107.55,3645.5,0,39,0,0,0,22123.0,0,174413.91,6
70,478,95548,41.572813,-124.035011,4,1,0,0,2,26.189958310676094,0,0,0,0,0,0,1,0,0,19.95,187.75,0,21,1,0,1,65104.0,0,6837.5,1
71,351,93650,36.841655,-119.797113,0,1,1,1,2,59.0,0,1,1,1,1,1,0,0,0,111.2,2317.1,1,24,1,1,1,35860.0,0,67169.76,7
72,27,94508,38.542448,-122.419923,0,0,0,1,1,23.0,1,1,1,0,0,0,1,0,0,40.2,1448.8,1,52,1,1,1,58597.0,0,53605.6,4
