Channel Budget Digital,Channel Budget TV,Channel Budget Radio,Channel Budget Newspaper,sales,Spend Frequency,Start Date,End Date,Duration,ROI,Engagement Metrics,Target Audience Size,Demographics,Zip Code,Seasonality
345.15,156,37.8,69.2,22.1,Monthly,2023-09-12,2023-11-13,62,2.271416588,42,80012,45-54,93225,Summer
66.75,46,39.3,45.1,10.4,Monthly,2023-10-26,2023-12-06,41,2.124524024,461,63669,25-34,91206,Holiday
25.8,18.3,45.9,69.3,9.3,Weekly,2023-04-07,2023-05-25,48,2.221941585,922,74670,25-34,92627,Winter
227.25,145.1,41.3,58.5,18.5,Daily,2023-11-19,2024-02-02,75,1.787010185,38,38843,18-24,94553,Holiday
271.2,165.2,10.8,58.4,12.9,Weekly,2023-09-28,2023-11-20,53,2.604288077,910,71040,55+,93010,Holiday
13.05,8.7,48.9,75,7.2,Monthly,2023-04-18,2023-07-12,85,2.603351423,755,32442,25-34,95345,Holiday
86.25,57.5,32.8,23.5,11.8,Monthly,2023-06-17,2023-08-20,64,1.771178553,680,58973,25-34,93437,Summer
180.3,120.2,19.6,11.6,13.2,Daily,2023-04-05,2023-05-11,36,2.543725966,341,31368,55+,94558,Winter
12.9,8.6,2.1,1,4.8,Monthly,2023-01-26,2023-03-12,45,0.8897253369,72,34089,25-34,93063,Summer
299.7,199.8,2.6,21.2,10.6,Weekly,2023-12-05,2024-01-24,50,1.136431572,522,68630,55+,95681,Summer
99.15,66.1,5.8,24.2,8.6,Weekly,2023-07-13,2023-10-06,85,1.469769896,129,54519,35-44,92091,Summer
322.05,214.7,24,4,17.4,Weekly,2023-02-13,2023-03-23,38,2.455154406,516,42665,45-54,94086,Winter
35.7,23.8,35.1,65.9,9.2,Monthly,2023-04-11,2023-06-02,52,2.891172538,101,26422,25-34,95843,Holiday
146.25,97.5,7.6,7.2,9.7,Monthly,2023-11-01,2023-12-01,30,2.75364415,681,14344,25-34,91942,Holiday
306.15,204.1,32.9,46,19,Monthly,2023-08-21,2023-10-05,45,1.675734008,197,50430,18-24,93441,Winter
293.1,195.4,47.7,52.9,22.4,Weekly,2023-01-09,2023-03-04,54,0.6420835103,947,41096,18-24,93286,Winter
101.7,67.8,36.6,114,12.5,Monthly,2023-12-13,2024-02-17,66,0.7092796257,688,98940,55+,94956,None
422.1,281.4,39.6,55.8,24.4,Weekly,2023-05-13,2023-07-12,60,2.834460395,90,51658,25-34,92078,Holiday
103.8,69.2,20.5,18.3,11.3,Daily,2023-03-07,2023-06-02,87,1.843068504,88,19435,45-54,94015,None
220.95,147.3,23.9,19.1,14.6,Monthly,2023-12-02,2024-01-13,42,2.412354352,789,59310,45-54,95037,Holiday
327.6,218.4,27.7,53.4,18,Monthly,2023-06-21,2023-08-27,67,2.845592043,598,44680,25-34,93601,Holiday
356.1,237.4,5.1,23.5,12.5,Weekly,2023-12-31,2024-03-29,89,0.6732716884,276,16189,55+,96140,Summer
19.8,13.2,15.9,49.6,5.6,Monthly,2023-09-25,2023-11-21,57,0.8469530331,153,26497,35-44,93201,Summer
342.45,228.3,16.9,26.2,15.5,Weekly,2023-01-31,2023-04-11,70,1.469566444,109,93498,45-54,93530,Summer
93.45,62.3,12.6,18.3,9.7,Weekly,2023-03-03,2023-05-11,69,2.886766968,8,51491,35-44,95550,Winter
394.35,262.9,3.5,19.5,12,Weekly,2023-01-29,2023-03-01,31,2.472248119,518,60114,18-24,92060,Holiday
214.35,142.9,29.3,12.6,15,Weekly,2023-05-11,2023-07-05,55,1.114229385,761,19708,18-24,93648,None
360.15,240.1,16.7,22.9,15.9,Daily,2023-06-01,2023-07-26,55,0.5801051169,13,65388,45-54,95358,Summer
373.2,248.8,27.1,22.9,18.9,Weekly,2023-06-29,2023-08-03,35,2.721823388,130,69835,18-24,95442,Holiday
105.9,70.6,16,40.8,10.5,Weekly,2023-10-30,2024-01-09,71,1.719783438,984,17079,18-24,95503,Summer
439.35,292.9,28.3,43.2,21.4,Monthly,2023-12-27,2024-03-17,81,0.5821113674,107,18978,25-34,94038,None
169.35,112.9,17.4,38.6,11.9,Weekly,2023-06-13,2023-09-04,83,2.71176987,22,64568,45-54,90058,Winter
145.8,97.2,1.5,30,9.6,Monthly,2023-03-23,2023-04-26,34,2.105467917,742,56404,55+,90063,Winter
398.4,265.6,20,0.3,17.4,Weekly,2023-03-23,2023-06-19,88,1.242479684,75,11590,18-24,92231,Summer
143.55,95.7,1.4,7.4,9.5,Daily,2023-07-30,2023-09-09,41,0.6111247824,613,96743,18-24,96003,Holiday
436.05,290.7,4.1,8.5,12.8,Daily,2023-10-26,2023-12-14,49,0.6899756738,392,79114,18-24,95046,Winter
400.35,266.9,43.8,5,25.4,Monthly,2023-03-30,2023-05-16,47,2.924034564,346,23910,45-54,95209,None
112.05,74.7,49.4,45.7,14.7,Weekly,2023-01-20,2023-02-25,36,1.644993338,141,57071,35-44,90003,Winter
64.65,43.1,26.7,35.1,10.1,Daily,2023-12-12,2024-02-17,67,1.229376673,109,98435,25-34,90255,Holiday
342,228,37.7,32,21.5,Monthly,2023-07-21,2023-10-01,72,0.9315166432,392,72685,35-44,92398,Holiday
303.75,202.5,22.3,31.6,16.6,Daily,2023-01-06,2023-02-28,53,1.344178445,965,20655,55+,92129,Holiday
265.5,177,33.4,38.7,17.1,Monthly,2023-04-03,2023-05-03,30,2.870379503,535,25058,45-54,94539,None
440.4,293.6,27.7,1.8,20.7,Monthly,2023-11-23,2024-02-10,79,2.861369622,292,93680,55+,95405,Summer
310.35,206.9,8.4,26.4,12.9,Monthly,2023-07-25,2023-10-11,78,0.5905408271,730,64617,45-54,95126,Summer
37.65,25.1,25.7,43.3,8.5,Monthly,2023-08-20,2023-10-28,69,1.884919803,169,24195,45-54,91042,Winter
262.65,175.1,22.5,31.5,14.9,Daily,2023-03-07,2023-05-12,66,0.8688665998,139,19510,55+,93291,Summer
134.55,89.7,9.9,35.7,10.6,Weekly,2023-03-18,2023-05-23,66,1.866746146,102,58617,45-54,95240,Summer
359.85,239.9,41.5,18.5,23.2,Daily,2023-02-23,2023-04-09,45,1.196097653,75,47001,55+,95318,None
340.8,227.2,15.8,49.9,14.8,Weekly,2023-05-12,2023-06-11,30,1.459065688,493,39759,35-44,94515,None
100.35,66.9,11.7,36.8,9.7,Monthly,2023-10-12,2023-11-26,45,0.568161547,553,76997,55+,95230,Summer
299.7,199.8,3.1,34.6,11.4,Monthly,2023-02-25,2023-05-04,68,0.5034874313,953,48303,55+,96134,Winter
