Customer_ID,Tenure,City,Zip Code,Latitude,Longitude,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Gigabits Used,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Charges,Total Revenue,Gender,Age,Married,Kidhome,Teenhome,Income,Churn
0002-ORFBO,9,Frazier Park,93225,34.827662,-118.999073,None,Yes,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,Yes,One Year,,65.6,593.3,974.81,Female,37,Yes,0,0,30507,No
0003-MKNFE,9,Glendale,91206,34.162515,-118.203869,None,Yes,Yes,Yes,Cable,10,No,No,No,No,No,Yes,No,Month-to-Month,Credit Card,-4,542.4,610.28,Male,46,No,0,1,59892,No
0004-TLHLJ,4,Costa Mesa,92627,33.645672,-117.922613,Offer E,Yes,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.9,280.85,415.45,Male,50,No,0,1,70545,Yes
0011-IGKFF,13,Martinez,94553,38.014457,-122.115432,Offer D,Yes,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,98,1237.85,1599.51,Male,78,Yes,0,0,57100,No
0013-EXCHZ,3,Camarillo,93010,34.227846,-119.079903,None,Yes,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Credit Card,83.9,267.4,289.54,Female,75,Yes,1,1,49096,Yes
0013-MHZWF,9,Midpines,95345,37.581496,-119.972762,Offer E,Yes,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,69.4,571.45,722.38,Female,23,No,1,0,34176,Yes
0013-SMEOE,71,Lompoc,93437,34.757477,-120.550507,Offer A,Yes,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.7,7904.25,8611.41,Female,67,Yes,2,0,71427,No
0014-BMAQU,63,Napa,94558,38.489789,-122.27011,Offer B,Yes,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,Two Year,Credit Card,84.65,5377.8,6214.28,Male,52,Yes,1,0,38961,No
0015-UOCOJ,7,Simi Valley,93063,34.296813,-118.685703,Offer E,Yes,No,Yes,DSL,21,Yes,No,No,No,No,No,Yes,Two Year,Bank Withdrawal,48.2,340.35,414.06,Female,68,No,0,1,78128,Yes
0016-QLJIS,65,Sheridan,95681,38.984756,-121.345074,None,Yes,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,90.45,5957.9,7807.8,Female,43,Yes,0,1,47823,No
